block_id, block_hash, timestamp, difficulty, transaction_hash, timestamp, sender, receiver, amount, tax
4728090, 0x59ce3bf00e55ca192b55368afccff62580536db9d8d5eee8a0faaca363bbff9b, 2017-12-14 06:51:19, 1616978225790281, 0xcd3eba2c1ca23919c09f07ead8dd5ab37b43f66843e7b2d7d8be727dd6a9a685, 2017-12-13 23:35:36, 0x021a61a65243359a804769b5e982b152f068f90b, 0x207c0d05854d431884a70e80f458e2580065ea6d, 14.580462537916795, 0.00067221
4728097, 0x5412b13c4fc97e5cb82ebc1b1d8a3ed497e44635001cd5a30cce32d578712280, 2017-12-14 06:51:19, 1617766609428006, 0x688e6e915a45b32c67c910b3f29558f651cc2417baecb092f4293d58b6287b4c, 2017-12-13 23:37:16, 0xe48c386994b21cefe665e0b1f12f64207ffaf336, 0x950d3bf3371ddbc144a1d73db319c79787d5e57c, 0.034563267196521, 0.000483
4728110, 0x2b71c729b6ebfaf642a2ce6ef7e34c01c5d5edb7d01be9605405c8a5093865de, 2017-12-14 06:51:19, 1619344529271335, 0x8ab848620d0663f89e9660b22d27570c57976c838a908aca5316fe13d4924615, 2017-12-13 23:40:20, 0x5bb724cbb7dce4fd15e86ba5d7a4e581adaa362a, 0x7cf20a1bb4cae92df714eaf760814860ed5f785f, 41.6, 0.000231
4728116, 0x09532f5f9746722a6cc042dc09a5e17ce4242e5e40ff769d364859ee84511d1b, 2017-12-14 06:51:19, 1618551903677137, 0xa5d7c070ce28eac23876b416250c0e53a1c731da2ccffdef777dbc7d7209cc85, 2017-12-13 23:41:56, 0xf08bdf21373a09ab7edd7769a402d3a22826d317, 0x9b44dd8bc7eaf81d59fbb34b73a7a90a7cab1da9, 0.00393723, 0.00067221
4728128, 0xd80e6d636d67504464af115420b568e0d66703d379c39a2a0b6558547f7b1687, 2017-12-14 06:51:19, 1619337192434249, 0x9a579020b0a8fcd04a2dfe25eb43050b98fa017e481897729f1b507467bb7caf, 2017-12-13 23:45:05, 0x413c81ac67977b2c08bc34038c1bd2e7c0f38c14, 0x5b47000ec93171ce0c541d8de88eb81fde2eb34b, 0.27458, 0.00042
4728139, 0xa8d8834f731b18726c65f63d21cba9229234376de248b266cee4ce687e58428d, 2017-12-14 06:51:19, 1616963961793083, 0xe8ace4579c4d7ea46bc7a66e19b34ef009b275213fdb6ddda930f8790d27e659, 2017-12-13 23:48:15, 0xd8022a49671743ea368034c666237012d84a9a4e, 0x7dc35a41c4cb87b9ce4d1581064bd14e64b9036b, 0.004, 0.000483
4728150, 0xfd7cf2ed39a143e18e856e1260385697441a1f5a38e6cf7ff0c450cbff75ade1, 2017-12-14 06:51:19, 1618539939890121, 0x97bb272160b771c6be63fb1ada695d3b95ab05039ada147bc6fec1308214027a, 2017-12-13 23:50:40, 0x207232f358800afa8fdf683662f0f649af92434e, 0xf534277f404c14d479d97b17d6e29b17583a445f, 18.484455234809678, 0.00067221
4728159, 0x7eac9cc7857c1ef9d52e08b9fef16b32a57f75089824eb2cdde0607be7bbb8ac, 2017-12-14 06:51:19, 1617746549984660, 0x6425a457fe6db39d420674ad43110ff610a8bda8f6fcce8589fac272d2529796, 2017-12-13 23:52:50, 0x894694d6ef9cb65c6d04b04e06c51be5ae873b13, 0xdf064c5a36ae8a358576f0c5c505d68975daf93d, 1.4, 0.000483
4728174, 0xcb3dc0567931e5272538f78306d3befdd56102f90049e4864fa7c4939ce751ed, 2017-12-14 06:51:21, 1621697666802555, 0x4e86d1dacd9b9648c8956d8f8489699b6c3403397e4a4970a81d4ea248991af3, 2017-12-13 23:55:48, 0x69a7e83f7fbaab90eccc6ee350d739f7dae82932, 0x95fef236712cb7e180f9f8d2eae004574c28e902, 0.05197673342389, 0.000441
4728175, 0x7b14827e357231c18f345141c148fd4e4818cad50cdc4472162625afdf7460de, 2017-12-14 06:51:22, 1620905822271455, 0x0380b0ec5d8feecec0a210ff923ee9d96effc33767573ed894520474642130ed, 2017-12-13 23:56:11, 0xfaa43d381517663742c1478fb0b71bc6cd3cec53, EtherDelta 2, 0, 0.00012993
4728181, 0xbb037390c7c9233b0a4d44efa67fef5cd18ebdefe3d5ae3d8bb3d62100420431, 2017-12-14 06:51:25, 1619321361187505, 0xe7cf8e8cb72bbc748dc6c5c7cec09e79d5547c4338d4abb05c5616c43f6709e2, 2017-12-13 23:58:04, 0xf6c7ce61a9195e8804e75dcb1e8e46b2ec5b84df, 0xa1c4c564c8e5b819544328c4c45aa5ed11c1e9de, 0.06, 0.000483
4728183, 0x1cd1f731cd59f130bf6429f83f66d2ad2839deb84aef8e9600041298d4825b6a, 2017-12-14 06:51:26, 1616156693837999, 0x725ddc6ce7cab290735f5d300b67158ee9ca44a000d594da27a8bf94fcef6b83, 2017-12-13 23:59:18, 0x1e2d41c95b0fafa9c999ed0e9fc9c8ef1e8c98a9, Hurify Token, 0, 0.00153749
4728188, 0x0a5f82d51b8ed9db227678c2c944cf6ddf3f50feb757721f12c5f1c6fe40354e, 2017-12-14 06:51:28, 1615366399214094, 0x1874c5d9d789f8842811e0b6007541699fb0697c085a0637726a0c1e749f7b6f, 2017-12-14 0:00:48, 0xf29dde2357d9679d703c2084ba5ffd6a0c4782e3, 0xf4bc22cce0d48ab06befbec2d42936a529a2e708, 0.2, 0.00067221
4942943, 0xd2df4b99ecf97240ceda6e665680342e21a2948b80463ddc169b8752c4c1636d, 2018-01-20 22:19:16, 2435182991849162, 0x241ec240b65d9566f5a49cc127f5c778c1100cd7f96e0e672ac99de13ae02030, 2018-01-20 22:19:11, 0x641a2a8887e1f98b0de2fd7a956096535d97ec71, 0xf2e22f5865ffac73b926a01b7b3ad095d368394a, 0, 0.00020231
4942944, 0xbb3268b73dc9efe3ce61356a684e04cd532f3d6ffad5d7a99634eb94d0c46ba9, 2018-01-20 22:19:24, 2437561100370710, 0xcb5fb071870b5ca525d2ec0a32936abb07aab30e5dc2ffe967b71d13f954188b, 2018-01-20 22:19:15, 0x17bc58b788808dab201a9a90817ff3c168bf3d61, Contract Creation, 0, 0.01243884
4942947, 0xdf1665756892decac286fa228d9506fe8e239d4ee705364bb127344f30b29da3, 2018-01-20 22:21:51, 2432800822101725, 0x9c52b91a273fefc54f968f64372b7ce7014692c075e4754ec9125577c9644081, 2018-01-20 22:20:33, Binance 2, 0x958e77c07162df65789ab9b7da3fe36734e8e888, 0.33981713, 0.0021
4942948, 0x26bf3e4a824499e1fa6be994868151fa5018c3f3546f5b87f994e8aee55ff64b, 2018-01-20 22:22:03, 2425673476074301, 0xfa71d6cad1f48e2974c0ac27ff108ffeffc7d6fd25c0d219c5156663e15d2776, 2018-01-20 22:21:48, 0xd3c2a0a10d073e50798e77be54936677036fd807, 0x4939775879c96c7ad7e1a4bee20045a0c3d7e3e0, 4.3124, 0.001029
4942956, 0xad08c2a41c8fceb80b38aface885d03b8385351cdde21bc97687adc06393eefd, 2018-01-20 22:24:02, 2424485017683990, 0x5f6af121e6e943d49b894fdb0562d9257aede9ecbaab3ed3631e89d2172d0faf, 2018-01-20 22:23:56, 0x00fbcec5338e292c16d6a1313d79bd4a6aa0f84e, 0x76e84047cc37556adf4524ba148d867f6ff98bc6, 87.723349884231234, 0.001029
4942957, 0xf71f5891718965757641307b6b411d191214b13e8983d4b7cc4a845db260bc10, 2018-01-20 22:24:18, 2425668848390103, 0x05974c4b38483464de14f30238d02c02143e3a73e3ce344e18c9bf48268e9982, 2018-01-20 22:24:00, 0x08e25e92f0b567289984c61f2998fb042d169b19, 0x01f295d0362b29b585063558976d4275e6c8d270, 0.25, 0.000483
4942961, 0x87a3ec47c1343a9356030b58b9874658f9f9290c7c3d0f9b22a079e68bf78f72, 2018-01-20 22:24:53, 2429223231415819, 0x3ed95058e7f95c917c9dfdddbc8a8f54f61704042a7b0d12a2113d3c2237a525, 2018-01-20 22:24:41, 0x40b718295c68f15037a66aeb19e8c3cf9cb6a425, 0x9bbb9387c9e2477a6b5d81afece00255875c48ce, 0, 0.00042936
4942974, 0x7e864fdef45f146e8323dd6fb4402dbf30203fa9af3a253e58f4852f57a8cde1, 2018-01-20 22:28:06, 2430407638912524, 0x09929d9e83b02e4384ce3ba09d2b1d9ada9849d1953eaf54878914644dcce520, 2018-01-20 22:27:48, 0x33f6b1a138023e3ee1012e8ae05997557b2f2774, 0xbc6e4f1ed7185d5378d07aa3888fe5782b11a1a7, 0.093978949, 0.00002105
4942975, 0xec0309a567d01d08a4f1deb6b28c4d2b3e6ecdd8f5c0a21d7a993d0c795c499a, 2018-01-20 22:28:13, 2430407639043596, 0x56526afe5318aac75d507acda96b12c2243f830790cc503d74330ca3a47c8e55, 2018-01-20 22:28:05, Bittrex, 0xb87c2c3f91e57046f46d5def125f620f09c837f1, 0, 0.00449937
